speciesCode,english_name,spanish_name,scientific_name,target_species,iconic_species,tour_visibility,tour_fit,target_difficulty,photography_difficulty,best_time_of_day,best_months,habitat_primary,habitat_secondary,elevation_min_m,elevation_max_m,route_cluster_primary,route_cluster_secondary,primary_hotspot_name,primary_hotspot_ebird_loc_id,secondary_hotspot_name,secondary_hotspot_ebird_loc_id,walking_level,access_level,reliability_score_manual,rarity_score_manual,photography_score_manual,opportunity_weight_manual,pricing_complexity,custom_tour_priority,half_day_visibility_note_en,half_day_visibility_note_es,full_day_visibility_note_en,full_day_visibility_note_es,guide_notes_en,guide_notes_es,internal_notes,needs_review,ebird_enabled,active
mouvel1,Mountain Velvetbreast,Colibrí Aterciopelado,Lafresnaya lafresnayi,TRUE,FALSE,half_day,half_day,moderate,moderate,early_morning,year_round,cloud forest,forest edge and mixed habitat,1200,1700,mindo_town,,Alambi Reserve,,,,easy,easy,65,50,60,1,standard,medium,Good fit for a focused half-day route when active nearby.,Buena opción para una ruta enfocada de medio día cuando está activo cerca.,Can be included if nearby activity is strong.,Puede incluirse si la actividad cercana es fuerte.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Mindo Town and Nearby Gardens.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Pueblo de Mindo y Jardines Cercanos.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
swbhum1,Sword-billed Hummingbird,Colibrí Picoespada,Ensifera ensifera,TRUE,TRUE,custom_only,custom_private,specialist,hard,early_morning,year_round; check recent activity before confirming,"gardens, feeders, and forest edge",cloud forest understory,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,38,96,42,1,premium_plus,medium,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=100. Needs MBW guide review for final positioning.,TRUE,TRUE,TRUE
x00383,Buff-tailed x Velvet-purple Coronet (hybrid),Colibrí Colihabano x Sietecolores (híbrido),Boissonneaua flavescens x jardini,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
giahum1,Giant Hummingbird,Colibrí Gigante,Patagona gigas,TRUE,TRUE,half_day,half_day,moderate,hard,morning,year_round,"gardens, feeders, and forest edge",nectar sources,1200,1700,mindo_town,,Alambi Reserve,,,,easy,easy,65,50,40,1,standard,high,Good fit for a focused half-day route when active nearby.,Buena opción para una ruta enfocada de medio día cuando está activo cerca.,Can be included if nearby activity is strong.,Puede incluirse si la actividad cercana es fuerte.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Mindo Town and Nearby Gardens.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Pueblo de Mindo y Jardines Cercanos.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
gorwoo2,Gorgeted Woodstar,Colibrí de Heliodoro,Chaetocercus heliodor,TRUE,FALSE,half_day,half_day,moderate,moderate,early_morning,year_round; check recent activity before confirming,"gardens, feeders, and forest edge",cloud forest understory,1200,1500,mindo_town,,guide review route area,,,,easy,easy,76,55,65,1,standard,medium,Good candidate for a shorter Mindo route when recent activity is favorable.,Buena candidata para una ruta corta en Mindo cuando la actividad reciente es favorable.,"Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: mindo_town. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: mindo_town. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=90. Needs MBW guide review for final positioning.,FALSE,TRUE,TRUE
amahum1,Amazilia Hummingbird,Amazilia Costeña,Amazilis amazilia,TRUE,FALSE,full_day,full_day,moderate,moderate,early_morning,year_round; check recent activity before confirming,"gardens, feeders, and forest edge",cloud forest understory,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,68,55,65,1,standard,medium,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=90. Needs MBW guide review for final positioning.,FALSE,TRUE,TRUE
virrai1,Ecuadorian Rail,Rascón de Virginia (aequatorialis),Rallus aequatorialis,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
colcra2,Colombian Crake,Polluela Colombiana,Mustelirallus colombianus,TRUE,FALSE,custom_only,custom_private,specialist,hard,early_morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,35,80,40,90,premium_plus,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
unicra1,Uniform Crake,Cotara Café,Amaurolimnas concolor,TRUE,FALSE,custom_only,custom_private,specialist,hard,early_morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,35,80,40,90,premium_plus,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
brwrai1,Brown Wood-Rail,Cotara Morena,Aramides wolfi,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
rnwrai1,Rufous-necked Wood-Rail,Cotara Cuellirrufa,Aramides axillaris,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
purgal2,Purple Gallinule,Calamoncillo Americano,Porphyrio martinica,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
grbcra1,Gray-breasted Crake,Polluela Pechigrís,Laterallus exilis,TRUE,FALSE,custom_only,custom_private,specialist,hard,early_morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,35,80,40,90,premium_plus,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
limpki,Limpkin,Carrao,Aramus guarauna,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
andlap1,Andean Lapwing,Avefría Andina,Vanellus resplendens,TRUE,FALSE,full_day,full_day,easy,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
uplsan,Upland Sandpiper,Correlimos Batitú,Bartramia longicauda,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
solsan,Solitary Sandpiper,Andarríos Solitario,Tringa solitaria,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
laugul,Laughing Gull,Gaviota Guanaguanare,Leucophaeus atricilla,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
pibgre,Pied-billed Grebe,Zampullín Picogrueso,Podilymbus podiceps,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
sunbit1,Sunbittern,Tigana,Eurypyga helias,TRUE,FALSE,full_day,full_day,moderate,moderate,early_morning,year_round,"rivers, streams, and wet edges",riparian forest,1250,1900,rio_nambillo,,Mindo--El Monte Sustainable Lodge,,,,moderate,moderate,65,50,60,1,standard,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Río Nambillo and Forest Trails.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Río Nambillo y Senderos de Bosque.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
neocor,Neotropic Cormorant,Cormorán Biguá,Nannopterum brasilianum,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
whiibi,White Ibis,Ibis Blanco,Eudocimus albus,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
father1,Fasciated Tiger-Heron,Avetigre Oscura,Tigrisoma fasciatum,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
libher,Little Blue Heron,Garceta Azul,Egretta caerulea,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
snoegr,Snowy Egret,Garceta Nívea,Egretta thula,TRUE,FALSE,full_day,full_day,easy,easy,morning,year_round,"rivers, streams, wetlands, and open water edges",riparian forest and open country,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
whtkit,White-tailed Kite,Elanio Maromero,Elanus leucurus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
blheag1,Black Hawk-Eagle,Águila Negra,Spizaetus tyrannus,TRUE,TRUE,custom_only,custom_private,hard,hard,early_morning,year_round,forest canopy and open ridges,soaring viewpoints,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,50,70,40,1,premium,high,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
bawhae1,Black-and-white Hawk-Eagle,Águila Blanquinegra,Spizaetus melanoleucus,TRUE,TRUE,custom_only,custom_private,specialist,hard,early_morning,year_round; check recent activity before confirming,forest canopy and sky watch points,ridges and open viewpoints,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,38,96,42,1,premium_plus,low,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=78. Needs MBW guide review for final positioning.,TRUE,TRUE,TRUE
orheag1,Ornate Hawk-Eagle,Águila Galana,Spizaetus ornatus,TRUE,TRUE,custom_only,custom_private,specialist,hard,early_morning,year_round; check recent activity before confirming,forest canopy and sky watch points,ridges and open viewpoints,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,38,96,42,1,premium_plus,medium,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=90. Needs MBW guide review for final positioning.,TRUE,TRUE,TRUE
creeag1,Crested Eagle,Arpía Menor,Morphnus guianensis,TRUE,TRUE,custom_only,custom_private,specialist,hard,early_morning,year_round; check recent activity before confirming,forest canopy and sky watch points,ridges and open viewpoints,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,38,96,42,1,premium_plus,low,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=78. Needs MBW guide review for final positioning.,TRUE,TRUE,TRUE
bichaw1,Bicolored Hawk,Gavilán Bicolor,Astur bicolor,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round; check recent activity before confirming,forest canopy and sky watch points,ridges and open viewpoints,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,52,72,65,1,standard_plus,low,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=80. Needs MBW guide review for final positioning.,FALSE,TRUE,TRUE
semhaw2,Semicollared Hawk,Gavilancito Torcaz,Microspizias collaris,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round; check recent activity before confirming,forest canopy and sky watch points,ridges and open viewpoints,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,52,72,65,1,standard_plus,low,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=80. Needs MBW guide review for final positioning.,FALSE,TRUE,TRUE
snakit,Snail Kite,Caracolero Común,Rostrhamus sociabilis,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
